algorithm,params,merge distance count,ef=32 5@recall,ef=32 dist count,ef=40 5@recall,ef=40 dist count,ef=50 5@recall,ef=50 dist count,ef=64 5@recall,ef=64 dist count,ef=72 5@recall,ef=72 dist count
merge_naive, "{'jump_ef':20}", 4812582791, 0.9148400000000001, 950.5332, 0.9342, 1098.4587, 0.9499400000000001,1278.8071, 0.9626600000000001,1522.9343, 0.9677400000000002,1659.3787
merge1,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 1}",1040753028,0.8962600000000001,923.2361,0.9189200000000001,1065.3296,0.93632,1238.1756,0.9524,1472.7199,0.9591600000000002,1603.5593
merge1,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 2}",1032703581,0.89836,922.5001,0.9198400000000001,1064.6333,0.9377800000000001,1236.874,0.9532,1471.4063,0.9597,1602.2116
merge1,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 3}",1028849742,0.8976799999999999,921.3854,0.9195,1063.3353,0.93716,1235.3536,0.9533200000000001,1469.9219,0.95972,1600.9027
merge1,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 20}",1023327229,0.9021,919.3572,0.9226,1061.0856,0.9400799999999999,1233.8277,0.9555000000000001,1467.6597,0.9615600000000001,1598.4364
merge1,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 1}",1040753028,0.8962600000000001,923.2361,0.9189200000000001,1065.3296,0.93632,1238.1756,0.9524,1472.7199,0.9591600000000002,1603.5593
merge1,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 2}",1032703581,0.89836,922.5001,0.9198400000000001,1064.6333,0.9377800000000001,1236.874,0.9532,1471.4063,0.9597,1602.2116
merge1,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 3}",1028849742,0.8976799999999999,921.3854,0.9195,1063.3353,0.93716,1235.3536,0.9533200000000001,1469.9219,0.95972,1600.9027
merge1,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 20}",1023327229,0.9021,919.3572,0.9226,1061.0856,0.9400799999999999,1233.8277,0.9555000000000001,1467.6597,0.9615600000000001,1598.4364
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 1}",1340220016,0.8966200000000001,923.4403,0.9184,1065.3841,0.9365800000000001,1238.345,0.9526,1473.2404,0.9593400000000002,1603.8122
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 2}",1331963208,0.89928,922.4542,0.9205400000000001,1064.5976,0.93852,1236.8434,0.9537,1471.4383,0.9604799999999999,1602.6033
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 3}",1328397676,0.8996,920.9191,0.9208800000000001,1063.3707,0.9381200000000001,1235.3849,0.9545,1470.4556,0.96078,1600.6214
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 5}",1326189823,0.8994800000000001,920.7319,0.9214399999999999,1062.569,0.93796,1234.4121,0.9542799999999999,1468.9758,0.9609,1599.6783
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 3, 'M': 10}",1326738905,0.9017200000000001,920.8005,0.92314,1062.036,0.94048,1234.3446,0.95606,1468.5249,0.9623799999999999,1599.0288
merge1,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'next_step_ef': 3, 'M': 1}",1458785891,0.9029800000000001,921.2575,0.9241800000000001,1063.1016,0.94078,1234.8733,0.9554,1469.2681,0.9615600000000001,1599.5952
merge1,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'next_step_ef': 3, 'M': 2}",1450499970,0.9040799999999999,920.9227,0.92406,1062.0785,0.9417200000000001,1234.3274,0.9561000000000002,1468.2767,0.96206,1598.6288
merge1,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'next_step_ef': 3, 'M': 3}",1446636930,0.90466,920.0548,0.9249599999999999,1061.6649,0.9422,1233.8901,0.9562,1467.7941,0.9618,1597.9634
merge1,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'next_step_ef': 3, 'M': 5}",1443537772,0.9041399999999999,919.4384,0.9255400000000001,1061.4944,0.9418,1233.1801,0.95606,1467.1187,0.9622200000000001,1597.5898
merge1,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'next_step_ef': 3, 'M': 10}",1443617697,0.9059800000000001,919.1,0.9267400000000001,1061.2685,0.943,1233.0853,0.95754,1467.6748,0.96404,1597.3584
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 10, 'M': 1}",1493452404,0.89692,923.6754,0.919,1065.7674,0.93684,1238.5552,0.9525399999999999,1473.4958,0.9590200000000001,1603.6893
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 10, 'M': 2}",1485170796,0.89922,922.5219,0.92022,1064.5951,0.93852,1237.2217,0.9536800000000001,1471.7863,0.9601200000000001,1602.4215
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 10, 'M': 3}",1481585393,0.90018,921.0389,0.92124,1063.3369,0.9390799999999999,1235.8249,0.9545600000000001,1470.5048,0.9609200000000001,1600.9079
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 10, 'M': 5}",1479365165,0.8999400000000002,920.3783,0.92106,1062.0207,0.9385800000000001,1234.6085,0.9545399999999999,1468.9824,0.96134,1599.8427
merge1,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'next_step_ef': 10, 'M': 10}",1479931927,0.9016799999999999,920.1166,0.9228,1061.3926,0.9406400000000001,1234.166,0.9560200000000001,1467.9369,0.9625600000000001,1598.5641
merge2,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'M': 1}",1181782572,0.8999799999999999,921.6433,0.92106,1063.3597,0.9387800000000001,1235.6119,0.9545799999999999,1470.0048,0.9607399999999999,1599.9581
merge2,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'M': 2}",1177912932,0.90002,921.3789,0.9222,1063.5333,0.93886,1235.3739,0.9547200000000001,1469.9539,0.9611400000000001,1600.2646
merge2,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'M': 3}",1175202257,0.9001400000000002,920.9001,0.92256,1062.9407,0.9394800000000001,1235.294,0.9544600000000001,1469.4209,0.9606600000000001,1600.049
merge2,"{'jump_ef': 20, 'local_ef': 5, 'next_step_k': 3, 'M': 20}",1171237809,0.9022600000000001,921.5206,0.9238200000000001,1063.2322,0.9405599999999998,1235.3294,0.9558399999999999,1469.9561,0.9615600000000001,1600.0273
merge2,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'M': 1}",1593093883,0.90022,921.2841,0.92248,1062.778,0.9390800000000001,1235.199,0.9544800000000001,1470.123,0.9608200000000001,1600.37
merge2,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'M': 2}",1584484215,0.8999,921.5565,0.9223399999999999,1063.3673,0.9399,1235.225,0.9547200000000001,1469.6436,0.96098,1600.0652
merge2,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'M': 3}",1578696428,0.9017799999999999,920.4602,0.9225199999999999,1062.3629,0.9394399999999999,1234.9155,0.9547400000000001,1469.1972,0.96068,1600.2177
merge2,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'M': 5}",1579032720,0.9016400000000001,920.4893,0.9238400000000001,1062.2538,0.9403800000000001,1235.6358,0.9556,1469.4165,0.9621200000000001,1600.283
merge2,"{'jump_ef': 64, 'local_ef': 5, 'next_step_k': 3, 'M': 10}",1578768651,0.9033000000000002,920.0984,0.92442,1062.2989,0.9416399999999999,1235.1141,0.9566400000000002,1469.5272,0.9627800000000001,1600.3464
merge2,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'M': 1}",1807547907,0.9060400000000002,919.5432,0.92684,1061.3655,0.9426,1232.9489,0.9572,1467.1232,0.96278,1597.2192
merge2,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'M': 2}",1800373246,0.9057400000000001,919.6239,0.92574,1060.7616,0.9416200000000001,1233.0895,0.95634,1467.1269,0.9623200000000001,1597.3874
merge2,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'M': 3}",1794938194,0.9053,919.1776,0.9261800000000001,1060.7228,0.94286,1233.412,0.95704,1466.7036,0.9632200000000001,1596.8244
merge2,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'M': 5}",1795572440,0.90654,919.2092,0.9267200000000001,1060.8477,0.9435800000000001,1233.6449,0.9580200000000001,1467.1529,0.96342,1597.6219
merge2,"{'jump_ef': 64, 'local_ef': 10, 'next_step_k': 3, 'M': 10}",1795804535,0.90746,919.154,0.9280200000000001,1061.3361,0.94416,1233.5916,0.95816,1467.7016,0.9638,1597.8388